Export_Amount,Transformer_Utilisation,Max_Feeder_Util,Customer_Voltages
10.0,25.48737842743008,51.78311374630262,"Any[244.84763652892474, 244.02110957879955, 245.81103248810155, 244.9088881418124, 244.60028568699624, 244.99757133695434, 245.0236371411259, 245.33201972429853, 245.11217780223575, 245.1481669812553, 246.01077244533138, 245.12366336577094, 245.25436257685735, 246.72219486890518, 245.39302432847037, 245.4224798880918, 247.39776003029553, 245.5609718474551, 246.47480356914107, 248.15656861964865, 245.78130255742067, 245.2445167642038, 248.961808363094, 246.9271344537404, 244.93173249732624, 249.847151468162, 245.7704922437961, 244.71744014150048, 251.6802289910553, 245.5975836852373, 244.557892786673, 252.13098124194445, 245.54480236382634, 244.5007110228954, 251.2178646019017, 245.5641015533413, 244.40763774801908, 251.20777262994255, 245.55784610017054, 244.4334943706429, 244.9044194333537, 243.92761137853205, 245.62792849768135, 245.22690983948667, 244.2935585481902, 248.07198087463078, 245.53578767455159, 244.71534891755522, 249.04601349113858, 245.9600366329491, 245.1377338997291, 248.62141449170795, 246.53418367036716, 246.62236003965484, 249.2278262968107, 248.0163476737089, 245.81195770108457, 250.78030670794874, 248.18739852440564, 246.0324180337477, 251.05783086523584, 247.08473273793658, 246.4057012894507, 249.9939827999408, 246.91675923030132, 246.85950339047068, 249.83541985988265, 246.8010876087283, 247.29232480603176, 249.65746411914398, 246.67498826730662, 247.76385864917486, 249.5084286596275, 246.57064956945177, 248.19476722651106, 249.38442835484634, 246.50946039540898, 249.6003534961867, 249.2933942340389, 246.45209577167338, 245.10475157187935, 243.46314254307123, 244.41167213646372, 245.881114574985, 243.08764776674246, 245.43309518575106, 247.5982672542321, 242.79269738898373, 244.1857189816879, 247.06541964122397, 242.57334864384566, 243.89622073582674, 247.51187008788983, 242.29432291889276, 243.52816306232538, 248.88748505599298, 242.32454260460713, 243.28551964079432, 247.95688005382536, 242.24687438517395, 243.30511269971774, 247.92509957559244, 242.27364788296, 243.18318816426614, 247.87143760428089, 242.23648909876, 243.16079717279504, 247.82872603482454, 242.21069796803894, 243.13966658465495, 247.74667384480006, 242.22536131624835, 243.14009769296294, 247.73280270857106]"
10.0,25.341527676259336,51.77151331152751,"Any[244.8390243835124, 243.73780841804378, 245.7442681812147, 244.88725970101078, 244.33763806213136, 244.95703974794606, 244.9877857436183, 245.00760991001889, 245.10678696852474, 245.1012593789759, 245.68315828696817, 245.13192704842373, 245.19066293038472, 246.39897909361386, 245.4048789373467, 245.36049531123874, 247.06145134159266, 245.59378865424455, 246.40004148734874, 247.82828298557484, 245.8393232254438, 245.1565541050998, 248.63614281538278, 247.0085367135126, 244.83172011866642, 249.52232268541582, 245.89885761311612, 244.57781805535342, 251.36271091916205, 245.69563631250028, 244.44684225934373, 251.8177257801593, 245.6591550999836, 244.3798785540241, 250.90015112553547, 245.6815727507981, 244.2781243160724, 250.91701110735863, 245.6919680818899, 244.3078515850617, 244.90955977933356, 243.49395163486457, 245.539867044112, 245.19878564231985, 243.898487471876, 247.96101506684184, 245.59657685341, 244.23237845580078, 248.9271876721528, 246.04509376750337, 244.66014675931376, 248.4827308160224, 246.64584921062277, 246.15709282945343, 249.07835317533613, 248.1533574736558, 245.33008184153243, 250.6314695644349, 248.3459347307826, 245.55010602235077, 250.90275721401198, 247.2639616627459, 245.93620788713696, 249.8306126004859, 247.11586515311134, 246.3510782063461, 249.66653389183404, 247.03598413587468, 246.77253973696136, 249.49407160085937, 246.9554892161059, 247.22719353981833, 249.33705393038156, 246.88252619895593, 247.62678093653096, 249.21685462508194, 246.7993778908787, 249.05402773041, 249.1187989130437, 246.75901394416948, 245.07877350987255, 243.1475502711522, 244.3787048235529, 245.85060569164978, 242.75757830150124, 245.43828552031528, 247.57458209443232, 242.45077427532556, 244.21972973786956, 247.046732417024, 242.20191960441906, 244.00527306539877, 247.47658146148197, 241.98012780015574, 243.69840893400186, 248.83287313918072, 241.89274060392177, 243.5942150978327, 247.89219161366478, 241.77765512227217, 243.60354585523697, 247.8478615753529, 241.74269799437818, 243.5188966618894, 247.80381790823307, 241.67364933789128, 243.54468273203253, 247.74830156636415, 241.62447513997367, 243.51501234894434, 247.67315608540335, 241.50959158573568, 243.53370618921812, 247.72190782049267]"
10.0,25.64870619785347,51.8577502629373,"Any[244.7601040392908, 243.82146502890964, 245.82321021250652, 244.80547176236144, 244.33347022359354, 245.02397957315003, 244.88923777976157, 245.08809971443065, 245.14701969399542, 244.99612191084992, 245.77294934555616, 245.18920904759253, 245.0675206825035, 246.46615604276505, 245.44154256172334, 245.2750135868563, 247.1364034568987, 245.63842022940358, 246.33760224170993, 247.8678280995447, 245.87364517433397, 245.11515765577118, 248.65513387161732, 247.03544378336218, 244.80862822775057, 249.52137112009078, 245.90893471115663, 244.59624846808373, 251.34169642498014, 245.75211952486802, 244.4614488422316, 251.77944817535555, 245.68994739794564, 244.40728731651066, 250.85835192018146, 245.69781570746994, 244.33173536872587, 250.81128526019032, 245.69200904973914, 244.34746150342937, 244.81938559991158, 243.72299023080092, 245.6358818055789, 245.06176212401726, 244.06920102588265, 248.05878415814345, 245.43632283929372, 244.44833261000005, 249.0292246981091, 245.82473697907415, 244.9924125238647, 248.59805045171012, 246.39440225215708, 246.41248037173128, 249.20412419131745, 247.86090542017342, 245.56786051398606, 250.7575481509641, 248.01731369451971, 245.8127365892638, 251.03390132505203, 246.8998617511097, 246.20335184347448, 249.97393053605148, 246.72868593597795, 246.63915796693078, 249.79611019093417, 246.58778997494204, 247.08161146463698, 249.6341010494605, 246.4517730540458, 247.53209335022564, 249.4880504220821, 246.30937414672908, 247.95006654701083, 249.3696871221791, 246.23633116044314, 249.3604012079068, 249.28414886991686, 246.2035071115121, 245.0104473116654, 243.22498195555, 244.48331867383246, 245.78900962598232, 242.82068859714155, 245.59761212076307, 247.5052096925764, 242.49733527550185, 244.40342600598277, 246.9818302779594, 242.2435028498706, 244.25128317795708, 247.41168140095826, 241.91063107144797, 243.98922717917117, 248.76609257676654, 241.90685604002, 243.98739160474906, 247.82069142034922, 241.80524841781826, 243.93257663364741, 247.77358432726436, 241.78799575632536, 243.85522602589882, 247.72621476518137, 241.7464323312785, 243.84572659430734, 247.6745647747251, 241.70546868173867, 243.8317803706327, 247.59567519732084, 241.6785753405607, 243.85584168217989, 247.60735432307712]"
10.0,25.7913035523898,52.46029172336742,"Any[244.7945653855104, 243.9623474730544, 245.76142002304914, 244.86719039914334, 244.50292647529528, 244.95720651354773, 244.98744832524724, 245.2312796220325, 245.07751100092779, 245.1283374956212, 245.9346233658635, 245.13100623908943, 245.25882518727715, 246.61929961071607, 245.36597958262018, 245.46310680138356, 247.31430124729636, 245.5554336484456, 246.54253266068673, 248.0471065796208, 245.7838813236954, 245.34061808536052, 248.84334264761958, 246.9404522375829, 245.05487098497457, 249.73243906106214, 245.7974797445005, 244.87971414998077, 251.53672327316497, 245.64125763553665, 244.73968379971868, 251.9746293746213, 245.57801633783893, 244.71637448192402, 251.05289542735684, 245.57439583066358, 244.69561411201275, 251.00201455056612, 245.55591231692108, 244.67710886434176, 244.84300468789382, 243.7843537094881, 245.61704504747266, 245.12313082320676, 244.18724988712376, 248.05155729643982, 245.4298039355411, 244.54429252123558, 249.03987283941854, 245.88232008267832, 244.95675055668974, 248.62361165199144, 246.46275684423318, 246.47050843175708, 249.23610458217252, 247.9477368765977, 245.65862980108318, 250.8000468408538, 248.12041365501543, 245.8932300317678, 251.0857595756069, 247.02206378938217, 246.28278068777567, 250.03214470198682, 246.8672436209425, 246.7386038049889, 249.88967977805075, 246.73706156917834, 247.17417992294102, 249.70292677772076, 246.6181619022696, 247.6472604363832, 249.57511417543594, 246.50186322101106, 248.10976544814244, 249.43376475884503, 246.4353527973029, 249.49263078279742, 249.3403710302791, 246.3880312836956, 245.03573748695183, 243.37644424410547, 244.3317360519113, 245.80557527255695, 243.03574708316089, 245.33577213105946, 247.5292322153522, 242.78973270447764, 244.04539072003493, 247.00050864521523, 242.61574140309196, 243.7693374181349, 247.44369999241422, 242.44722055068357, 243.35529270216674, 248.81093492871628, 242.33636318191412, 243.22761654463125, 247.8860358906747, 242.23941206686345, 243.23386548199136, 247.85285456991198, 242.20781732782007, 243.17044758705126, 247.82313609465785, 242.16145656565283, 243.12457412995323, 247.7879268846304, 242.10674720102847, 243.0999170339602, 247.7567459403983, 242.02860785629056, 243.09463598151225, 247.73393701946702]"
10.0,25.206303208568965,51.75066564556035,"Any[244.9792296421836, 243.7706683239338, 245.70299119626821, 245.1069160502015, 244.27765082253867, 244.86499473487515, 245.2747119098225, 244.98652461703153, 244.96504336328337, 245.4576787574023, 245.64452573371977, 244.94653136448642, 245.66526504839103, 246.3303699969213, 245.16447543735103, 245.83491303668646, 246.979992255422, 245.32058020057875, 246.9222491778601, 247.7114150139803, 245.52392461495077, 245.72803823203893, 248.49030526914294, 246.65339348315612, 245.46176975102628, 249.3474243700045, 245.49393030788318, 245.27695173147623, 251.1638659936959, 245.26713706527406, 245.1558962159853, 251.5905945315979, 245.1942005040544, 245.12701468409873, 250.64062415406113, 245.19510878208243, 245.1072273392278, 250.5911147146403, 245.14865110236428, 245.0903627389604, 245.0214508586493, 243.63983847661896, 245.55648430196706, 245.3011370494746, 243.9879391231753, 247.98844753281975, 245.67336731586877, 244.3544407036006, 248.96211889665753, 246.10342727836223, 244.78179937336182, 248.5229394446926, 246.68349802652367, 246.3070638321625, 249.1340311790643, 248.16345306269136, 245.49357908371653, 250.68067270124698, 248.33353314392147, 245.75014518411604, 250.95125424029413, 247.23424295194735, 246.1598450360991, 249.8820270637163, 247.0659359539529, 246.61703327969576, 249.69623369572957, 246.96046345733225, 247.0613838552535, 249.53236749910153, 246.842520447869, 247.53557473967493, 249.38475814198966, 246.73661496381894, 247.98525599572338, 249.2721585903481, 246.70137267911355, 249.37257253079213, 249.1813227276956, 246.65754566873423, 245.21439643038468, 243.1594271632972, 244.33982067451979, 246.02119698030074, 242.72883084404359, 245.39044358211348, 247.76117272872224, 242.36122914414833, 244.1585744050121, 247.25030102480017, 242.0704934159745, 243.90375925906488, 247.72045697082157, 241.65030671341836, 243.55209151333992, 249.1093349505347, 241.7085562738931, 243.41449610535213, 248.19331306666, 241.61170997312922, 243.39847729484345, 248.17086522442972, 241.60563085768177, 243.33024661357365, 248.1457929453146, 241.5591060947183, 243.3338889083134, 248.1280995812366, 241.501591808562, 243.31062223688198, 248.0812932982684, 241.45853799625056, 243.3308850705664, 248.0782357852027]"
10.0,25.6149681871886,51.74007235497048,"Any[244.82622804634852, 243.85879152466194, 245.82204454505518, 244.91012768558613, 244.38637261228214, 245.02774680612782, 245.03772925914913, 245.1292617707929, 245.15655931107798, 245.18336846023857, 245.80884100801657, 245.17479175890227, 245.3481538777185, 246.51758619708144, 245.45160365472552, 245.48966517843147, 247.1902776309904, 245.63719084808272, 246.549118584155, 247.94383193447723, 245.86793138565326, 245.32468335835435, 248.74787686867276, 247.02628345223403, 245.01876180711128, 249.63282506765802, 245.89231328979207, 244.81367187088992, 251.46304359708702, 245.7274501311195, 244.67506871204645, 251.91478845780267, 245.6573713782457, 244.60607372392508, 251.00908269824367, 245.66629547366122, 244.5115397429838, 250.9928215915878, 245.65208698359868, 244.53708627144113, 244.87703980280003, 243.73768802093238, 245.6276680505744, 245.12559061525297, 244.14080544534602, 248.06719282330138, 245.48519495018334, 244.50631949634078, 249.03190815822302, 245.954968190885, 245.07910094602113, 248.5862505667173, 246.55690567939746, 246.5194466663417, 249.191459624697, 248.05450670954474, 245.70362306079662, 250.74069444190755, 248.24206239512964, 245.95512693274907, 251.01321461052387, 247.15432745492225, 246.35170867931097, 249.95628440867085, 247.00467500897616, 246.8154255592253, 249.76573765799938, 246.91047272669152, 247.25764253667796, 249.59577198146863, 246.80671451038575, 247.74429318184463, 249.4444514998523, 246.73312780743626, 248.2239501489641, 249.3186398096837, 246.65665030815455, 249.5931170737529, 249.22373645962392, 246.6300641396881, 245.06500664879187, 243.27947935624542, 244.41053430128343, 245.8571872662726, 242.89739936520158, 245.4577948813835, 247.59337974472075, 242.60006045514916, 244.18267680357326, 247.0727287249364, 242.38103707185775, 243.97866056752827, 247.5160575345114, 242.1035275308167, 243.67933362896605, 248.92116096854235, 242.11348810571604, 243.48675073929, 248.0149039270498, 242.01130989626057, 243.44761087578792, 248.00643875540334, 242.0392613370812, 243.36295382162425, 247.98118215170504, 242.0223184757125, 243.3452186619463, 247.96591788226684, 241.99239861797528, 243.31836649393355, 247.9384696592917, 242.0099741306556, 243.30884301547766, 247.9081546777294]"
10.0,25.45160756817999,50.46125681383926,"Any[245.0329959957111, 244.07257445251244, 245.8175256988844, 245.11908551245605, 244.56156455227318, 244.973629034204, 245.23747677171653, 245.37205829792444, 245.03186562111958, 245.38202895488013, 246.11494476534244, 244.8623293180991, 245.5228256161962, 246.83952661929976, 245.27252302258074, 245.72291404422415, 247.53063802511346, 245.4501776296424, 246.80244685480264, 248.2738337872332, 245.68870883762887, 245.6062052644761, 249.0662000498343, 246.84565817424527, 245.33670426700436, 249.9968760930952, 245.71059194212256, 245.1189632965749, 251.81165675669968, 245.56551467337428, 244.96486019899754, 252.26768165632623, 245.4922028839878, 244.91886260085, 251.37864536616667, 245.4895636693068, 244.8464905256216, 251.3485943956886, 245.48391452134078, 244.86327589738778, 245.09330175504948, 243.86902958818098, 245.51260593877547, 245.42498939973558, 244.22015026142932, 248.096446621297, 245.8344292099478, 244.56594609739182, 249.08713873609312, 246.31156126009554, 245.0459848774312, 248.67611659049442, 246.91122803132833, 246.4700761535033, 249.29130504569824, 248.45526608378486, 245.61920510173977, 250.8624240268404, 248.67633511140437, 245.78937676513507, 251.15293253568365, 247.63073982415509, 246.18198186246892, 250.08989824814674, 247.51034614465186, 246.62060676864792, 249.9673635658168, 247.42239053238805, 247.03351518594675, 249.81049915802424, 247.3740210598251, 247.49914598275024, 249.682193079857, 247.27870429485523, 247.95996978176473, 249.55679413645615, 247.20962111843414, 249.34842685546639, 249.44250569897056, 247.1797154020911, 245.3020365040534, 243.38048426221295, 244.53507301845045, 246.110887982238, 242.92707403637823, 245.627084432914, 247.86015958264701, 242.59651886040717, 244.3897098275798, 247.36606059627374, 242.32789528262964, 244.2718721986177, 247.83187179084902, 241.92853736548113, 244.080799441085, 249.21693650574124, 241.94474896950908, 243.8985261107924, 248.30023826399716, 241.84039630363347, 243.91656678918045, 248.29123259931293, 241.8157552147709, 243.87153681224055, 248.27492094300644, 241.77495240580538, 243.81587898960308, 248.25737371382687, 241.74920261027236, 243.79846184100643, 248.20631192569027, 241.62138656351263, 243.8048996275891, 248.19149623371786]"
10.0,25.628432939053702,51.40561085203596,"Any[244.9488629635905, 243.8892984122029, 245.85981950343782, 245.02399811578118, 244.3612816359137, 245.01772243205141, 245.15354396418098, 245.16390008205, 245.08739044238033, 245.28923120796463, 245.88932308856954, 244.99896876822518, 245.39652821517828, 246.62089197164278, 245.31356627724193, 245.5936640524815, 247.3022910958216, 245.47060834685564, 246.6637076461689, 248.0518393171296, 245.68578364644097, 245.45402957690797, 248.85638221362052, 246.81751576056158, 245.16761589347132, 249.78711241663598, 245.66260258449077, 244.9317072794868, 251.59930708779098, 245.456819083646, 244.7929021845798, 252.05285400885984, 245.40867041690424, 244.7383271055283, 251.157663808335, 245.38484214072318, 244.65418479174548, 251.11701526415945, 245.39255744518542, 244.6813298306073, 244.99228020562217, 243.70094910901494, 245.65389932312308, 245.34268363012336, 244.0325263609697, 248.17801650375407, 245.70304112228578, 244.40201060342454, 249.17312159826346, 246.18201830228062, 244.85670730978012, 248.7538563220729, 246.77439310478198, 246.27136031053038, 249.38719416713303, 248.31486766244078, 245.40964576240637, 250.960976593545, 248.53013171887025, 245.5620135695605, 251.2563218289891, 247.4763931542456, 245.97275053714634, 250.21934096763928, 247.36139901810023, 246.37933890847077, 250.0652317843758, 247.25979361423646, 246.8040605586718, 249.90987361031335, 247.1865026350737, 247.24700627130846, 249.78399956442817, 247.10946410224273, 247.72864093762476, 249.6372076846915, 247.02782636383455, 249.11635184959877, 249.53931180851458, 247.0015631589937, 245.21728908974032, 243.24047502477848, 244.5039398749348, 246.0404421222776, 242.78431048979257, 245.6838140646069, 247.80304210553408, 242.41242589716347, 244.52628608578797, 247.33614022876407, 242.13165692319924, 244.36687651112814, 247.79917881474503, 241.7326379886274, 244.1848654744952, 249.18191562251624, 241.74271276951134, 244.00957450168113, 248.27042327809923, 241.63537164821503, 244.0450329780639, 248.2580718223393, 241.5973283300761, 243.9831978904695, 248.24359069549322, 241.5363783777844, 243.95597091778671, 248.22852731024057, 241.50626621553735, 243.9568906569396, 248.18181630018665, 241.42350211413586, 243.95517772980543, 248.1674368860306]"
10.0,25.26462771898149,51.16725227285511,"Any[245.00807040727318, 243.9268570842776, 245.8842561931579, 245.10046271036748, 244.4001168261078, 245.05170347338253, 245.2430661491143, 245.1951673578649, 245.12427196646593, 245.38785066486508, 245.9372129185756, 245.01241276124532, 245.5128804534907, 246.6721938259096, 245.38947829404756, 245.6974409094684, 247.3515529502815, 245.5714743096732, 246.77030220646455, 248.09180471993983, 245.8038533003488, 245.56557782939757, 248.92466030284692, 246.96966058357623, 245.28280673699072, 249.82163283915645, 245.84498431144144, 245.05681245226953, 251.62139561877504, 245.70102311167616, 244.93315041914724, 252.06614134415, 245.62550528022032, 244.89350523210044, 251.1624660017717, 245.6157662702352, 244.82856465697247, 251.12038287587825, 245.61291320292733, 244.8526473840092, 245.07327608146795, 243.7451829843062, 245.64235785960108, 245.3227650966258, 244.07569787365247, 248.22081795622074, 245.64714318636578, 244.45659440178474, 249.2387111167682, 246.05496366282563, 244.92229112482238, 248.84189160930595, 246.58351438425413, 246.37206560011387, 249.49439680422842, 248.0588435780328, 245.53098981701444, 251.09594222091093, 248.20896442991724, 245.72158783369733, 251.416114811851, 247.0764691039256, 246.14477149464665, 250.3974049754775, 246.90161734516386, 246.57927745041158, 250.28378562929137, 246.75038935143363, 246.9975021908957, 250.14883193146028, 246.60059323782912, 247.46722870952053, 250.0450389460088, 246.51694995736855, 247.91575198894373, 249.9401424179157, 246.43265165952917, 249.31237394860105, 249.83254714356823, 246.3826051256405, 245.28238139289752, 243.21186045977618, 244.5780555471357, 246.1225060924135, 242.67785650228694, 245.708326702856, 247.8958126198087, 242.24323162721825, 244.53214492739045, 247.45872837773825, 241.8854313104933, 244.38694178276572, 247.90022657024045, 241.41211871645868, 244.19752653040916, 249.32019298462455, 241.34556814681278, 244.00575673410506, 248.42880180247258, 241.14432294486264, 243.99717362800195, 248.44060884074693, 241.06548005851928, 243.9509918010558, 248.45045151690897, 240.93933542107402, 243.91444236898138, 248.45091823971256, 240.78416070072157, 243.88082184634635, 248.41111684510676, 240.5906883611443, 243.9085627891319, 248.41333769325203]"
10.0,25.93288267743584,52.157784902948194,"Any[245.06278408998537, 244.06863742211536, 246.07795175220852, 245.1591192300489, 244.55416942531224, 245.28341753788945, 245.28836323108635, 245.36204980896943, 245.4073298061205, 245.43221176535815, 246.0752038126861, 245.4126380228055, 245.56806985832318, 246.79253175676388, 245.69918011454007, 245.7500183267881, 247.4943846083483, 245.87194391421977, 246.81446494985755, 248.2505361700729, 246.1026341384081, 245.6052788040847, 249.07329574800428, 247.25003352746532, 245.32273933640025, 249.97397617633456, 246.11521574816612, 245.09762439757594, 251.77987129944765, 245.9395885394266, 244.93925679123194, 252.2274556092532, 245.8838914130224, 244.8797814097499, 251.3279521186391, 245.88053503557072, 244.81240811499208, 251.27567327007526, 245.87511926217766, 244.84466070531323, 245.101535914257, 243.89488950530483, 245.9160351604356, 245.38196141987856, 244.24784986434798, 248.4006363958626, 245.70364730178045, 244.6283116290762, 249.40600716483132, 246.1258698999323, 245.09072183685365, 249.00760549633733, 246.66291706692155, 246.55556433662886, 249.62700706310525, 248.1487947725265, 245.72193953888203, 251.20499657871213, 248.30833529809084, 245.9231345066952, 251.50402729181644, 247.18932049652676, 246.37692344927902, 250.47230132836927, 247.02204204338082, 246.79349747364395, 250.3249664045672, 246.86937226883222, 247.2295648428005, 250.17913863419994, 246.7086124288653, 247.72598235024344, 250.05997869711027, 246.6257554313005, 248.1572452944074, 249.92670720481388, 246.54413350169716, 249.55507384578436, 249.8266430071397, 246.46038109744399, 245.33297327924458, 243.440721809802, 244.66854205164643, 246.16935759625213, 243.01296301886077, 245.82790291781114, 247.93968055774974, 242.65639260489084, 244.64218372679076, 247.51339895574324, 242.4003235764844, 244.49749431199294, 247.9586814018897, 242.09472197028515, 244.31009208364696, 249.31577989070504, 242.0044984416545, 244.1220358044475, 248.40223404922722, 241.8871683331342, 244.12662801908556, 248.39506099323333, 241.8017842052979, 244.07994494047946, 248.38317341123928, 241.6961077891578, 244.0613497103602, 248.36948278351474, 241.56676678696073, 244.05373754918025, 248.31157824534276, 241.4283569371038, 244.0630248934247, 248.3117464355121]"
